,Provider Name,Procedures,Provider State,Region,Count_of_services,Charges,Payment,Cluster_23
0,ABBEVILLE GENERAL HOSPITAL,25,1,1,1294,314058.8930953999,121115.80486221999,1
1,ABBOTT NORTHWESTERN HOSPITAL,121,1,1,20810,4495571.816458301,1065438.9280527306,11
2,ABILENE REGIONAL MEDICAL CENTER,71,1,1,7285,3613719.390444599,516580.32534531003,15
3,ABINGTON MEMORIAL HOSPITAL,121,1,1,19300,6832266.262373797,1027582.37196473,5
4,ACMH HOSPITAL,54,1,1,4151,406719.03926610004,199332.50101643,20
5,ADCARE HOSPITAL OF WORCESTER INC,1,1,1,1571,4227.467855,4967.5684280000005,12
6,ADENA REGIONAL MEDICAL CENTER,111,1,1,19639,2167884.3164027,850296.9406324798,11
7,ADIRONDACK MEDICAL CENTER,32,1,1,1561,355059.7492502,196213.59540125998,1
8,ADVANCED SURGICAL HOSPITAL,1,1,1,71,36100.85915,21777.5493,12
9,ADVENTIST BOLINGBROOK HOSPITAL,56,1,1,2652,1540952.8422539993,387791.94841172994,6
10,ADVENTIST GLENOAKS,35,1,1,1671,1048793.6808327,283428.12193693,20
11,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,97,1,1,9097,3203196.568809898,734911.5842771797,2
12,ADVENTIST MEDICAL CENTER,96,2,2,8754,3839390.7758124,1151832.01886311,10
13,ADVENTIST MEDICAL CENTER - REEDLEY,9,1,1,319,110314.3525761,26821.9250787,12
14,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,124,1,1,23773,3823133.411942899,1240380.2102883793,11
15,ADVOCATE CONDELL MEDICAL CENTER,115,1,1,11903,4826314.028469797,962749.4694407702,13
16,ADVOCATE GOOD SAMARITAN HOSPITAL,113,1,1,13257,3987680.4180850014,948000.8676034404,13
17,ADVOCATE GOOD SHEPHERD HOSPITAL,104,1,1,16797,2928291.3440074115,856029.4202201801,2
18,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,95,1,1,10206,3421700.6158556,1070881.2681687302,13
19,ADVOCATE LUTHERAN GENERAL HOSPITAL,121,1,1,27605,3673485.8369391,1215227.4668417203,11
20,ADVOCATE SOUTH SUBURBAN HOSPITAL,105,1,1,9508,2691721.5182659994,802849.9172998896,2
21,ADVOCATE TRINITY HOSPITAL,75,1,1,4533,2070907.0412323002,683196.36437324,15
22,AFFINITY MEDICAL CENTER,53,1,1,4371,898879.5233561998,235822.77706082998,20
23,AHMC ANAHEIM REGIONAL MEDICAL CENTER,77,1,1,3471,5204163.8775251,784721.2608434,13
24,AIKEN REGIONAL MEDICAL CENTER,93,1,1,7263,2862427.6593881,802470.3942421302,2
25,AKRON GENERAL MEDICAL CENTER,113,1,1,23319,3110674.060593929,919214.0929564701,11
26,ALAMANCE REGIONAL MEDICAL CENTER,90,1,1,8969,1259347.7811983395,640360.7082272398,15
27,ALAMEDA COUNTY MEDICAL CENTER,37,1,1,5587,666313.64063878,302661.5706597101,20
28,ALAMEDA HOSPITAL,38,1,1,1142,1208866.2914374003,302710.7047225,20
29,ALASKA NATIVE MEDICAL CENTER,33,1,1,752,835810.5063440002,542582.6442099999,20
30,ALASKA REGIONAL HOSPITAL,38,1,1,1674,1467719.3419080002,350227.77349263994,20
31,ALBANY MEDICAL CENTER HOSPITAL,114,1,1,6712,3984127.890935702,1190182.8750911404,13
32,ALBANY MEMORIAL HOSPITAL,55,1,1,5756,580456.9601938099,264671.2481543501,20
33,ALBEMARLE HOSPITAL AUTHORITY,71,1,1,4852,1333002.9880445001,535141.5235643801,6
34,ALBERT EINSTEIN MEDICAL CENTER,108,1,1,17435,5044370.459886098,1486997.2833872205,5
35,ALEGENT HEALTH BERGAN MERCY MEDICAL CENTER,100,1,1,11837,3457615.664394797,829743.1246133897,2
36,ALEGENT HEALTH IMMANUEL MEDICAL CENTER,66,1,1,3557,1894406.8222187003,465058.0842871902,6
37,ALEGENT HEALTH LAKESIDE HOSPITAL,67,1,1,3482,1816998.2166638006,423853.21428887016,6
38,ALEGENT HEALTH MERCY HOSPITAL,58,1,1,3259,1639135.1223249997,441679.60418802005,6
39,ALEGENT HEALTH MIDLANDS HOSPITAL,34,1,1,1980,637853.9553705,138994.14160111,1
40,ALEXIAN BROTHERS MEDICAL CENTER,115,1,1,17585,4484768.035019097,884605.38806296,13
41,ALHAMBRA HOSPITAL MEDICAL CENTER,39,1,1,1660,2087319.7219718997,447636.5296499999,6
42,ALICE HYDE MEDICAL CENTER,30,1,1,756,288621.56544999994,184908.84772600007,1
43,ALLE KISKI MEDICAL CENTER,64,1,1,4460,929269.5269181004,334430.7610712099,6
44,ALLEGHENY GENERAL HOSPITAL,106,1,1,12656,3619550.612496234,1062245.0340230498,13
45,ALLEGIANCE HEALTH,117,1,1,23197,2959837.8955237004,832280.7460581205,11
46,ALLEN MEMORIAL HOSPITAL,107,1,1,19382,1811276.6910397005,738701.4425776002,2
47,ALLEN PARISH HOSPITAL,6,1,1,214,8736.488265900001,6331.619667999999,12
48,ALLIANCE COMMUNITY HOSPITAL,56,1,1,8712,580189.0492682599,289050.3250582699,20
49,ALLIANCE HEALTH CENTER,2,1,1,127,14520.354232000002,8105.2241380000005,12
50,ALLIANCE HEALTHCARE SYSTEM,21,1,1,712,176744.32632050003,86521.13815599999,12
51,ALPENA REGIONAL MEDICAL CENTER,71,1,1,8632,1259274.98115803,489132.27618429996,6
52,ALTA BATES SUMMIT MEDICAL CENTER,99,1,1,8888,7224943.383496898,1368709.1898339002,5
53,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,85,1,1,12163,5522322.794172799,1117183.1816568598,13
54,ALTA VIEW HOSPITAL,28,1,1,2996,198389.7952489,85356.38353681,1
55,ALTA VISTA REGIONAL HOSPITAL,23,1,1,1209,507581.2344462,123431.9358407,1
56,ALTON MEMORIAL HOSPITAL,81,1,1,6618,1964092.0731193104,510470.86801855004,15
57,ALTOONA REGIONAL HEALTH SYSTEM,114,1,1,13043,2263835.4691181006,796624.4226896799,2
58,ALTRU HOSPITAL,100,1,1,83351,1847366.4801990408,790605.2784396997,3
59,ALVARADO HOSPITAL MEDICAL CENTER,83,1,1,3751,3514172.6976719,757419.2438987999,2
